season,team,team_pass_rate,team_neutral_pass_rate,team_plays_pg,team_redzone_pass_rate,team_deep_throw_rate,team_left_throw_rate,team_middle_throw_rate,team_right_throw_rate,team_shotgun_rate,team_no_huddle_rate,team_avg_air_yards
2018,ARI,0.6232044198895028,0.4702194357366771,56.5625,0.5760869565217391,0.1912568306010929,0.3333333333333333,0.19672131147540983,0.3697632058287796,0.569060773480663,0.0707182320441989,8.038383838383838
2018,ATL,0.6712598425196851,0.5920745920745921,63.5,0.6482758620689655,0.1924812030075188,0.37593984962406013,0.22105263157894736,0.3293233082706767,0.5068897637795275,0.07381889763779527,8.54132901134522
2018,BAL,0.5364354697102721,0.48785425101214575,71.1875,0.44886363636363635,0.188135593220339,0.23389830508474577,0.33728813559322035,0.36610169491525424,0.7848990342405618,0.05970149253731343,8.638489208633093
2018,BUF,0.5910891089108911,0.46546546546546547,63.125,0.5084745762711864,0.26199261992619927,0.34870848708487084,0.15867158671586715,0.4114391143911439,0.5673267326732673,0.07425742574257425,9.92570281124498
2018,CAR,0.6200787401574803,0.5257452574525745,63.5,0.5157232704402516,0.17696160267111852,0.3656093489148581,0.18864774624373956,0.3789649415692821,0.7539370078740157,0.08070866141732283,7.390763765541741
2018,CHI,0.5776031434184676,0.5432098765432098,63.625,0.5972222222222222,0.21636363636363637,0.3,0.21818181818181817,0.4109090909090909,0.7829076620825147,0.03536345776031434,8.79296875
2018,CIN,0.643312101910828,0.5833333333333334,58.875,0.6341463414634146,0.19725557461406518,0.313893653516295,0.23156089193825044,0.379073756432247,0.6539278131634819,0.03503184713375796,8.042435424354244
2018,CLE,0.6263310745401742,0.5189873417721519,64.5625,0.5736434108527132,0.2661290322580645,0.31129032258064515,0.18387096774193548,0.4241935483870968,0.6214908034849952,0.04743465634075508,9.494773519163763
2018,DAL,0.5986328125,0.5273159144893111,64,0.5821917808219178,0.1421232876712329,0.3578767123287671,0.1678082191780822,0.3767123287671233,0.60546875,0.08984375,7.55977229601518
2018,DEN,0.6241413150147204,0.5483091787439613,63.6875,0.5813953488372093,0.16346153846153846,0.33974358974358976,0.18269230769230768,0.4166666666666667,0.5525024533856723,0.10500490677134446,7.476190476190476
2018,DET,0.6181640625,0.538647342995169,64,0.5570469798657718,0.14539579967689822,0.32794830371567046,0.2197092084006462,0.3780290791599354,0.650390625,0.10546875,6.930313588850174
2018,GB,0.7116504854368932,0.6037234042553191,64.375,0.696,0.21551724137931033,0.3764367816091954,0.17959770114942528,0.35919540229885055,0.7145631067961165,0.10194174757281553,8.8546875
2018,HOU,0.6023054755043228,0.5102040816326531,65.0625,0.654320987654321,0.17398945518453426,0.3233743409490334,0.2126537785588752,0.3427065026362039,0.6868395773294909,0.06147934678194044,8.571146245059289
2018,IND,0.6381395348837209,0.5889724310776943,67.1875,0.6010928961748634,0.18345864661654135,0.35037593984962406,0.23458646616541354,0.3804511278195489,0.7218604651162791,0.1283720930232558,7.540372670807454
2018,JAX,0.6405163853028798,0.4672364672364672,62.9375,0.6,0.15905245346869712,0.27580372250423013,0.24196277495769883,0.38917089678510997,0.6852035749751738,0.04667328699106256,7.0466417910447765
2018,KC,0.6392785571142284,0.6494565217391305,62.375,0.6467391304347826,0.23114754098360657,0.319672131147541,0.22131147540983606,0.4131147540983607,0.7995991983967936,0.02404809619238477,9.04459691252144
2018,LA,0.584817244611059,0.5645161290322581,66.6875,0.53301886792452835,0.21357615894039736,0.36258278145695366,0.22847682119205298,0.34602649006622516,0.3795688847235239,0.14339268978444236,8.637323943661972
2018,LAC,0.5865687303252886,0.5459770114942529,59.5625,0.5753424657534246,0.18806509945750452,0.321880650994575,0.25316455696202533,0.3508137432188065,0.5498426023084995,0.008394543546694649,7.732421875
2018,LV,0.6188565697091274,0.52,62.3125,0.49640287769784175,0.14285714285714285,0.3333333333333333,0.2233169129720854,0.3448275862068966,0.6028084252758275,0.09227683049147442,6.807553956834532
2018,MIA,0.590443686006826,0.5092348284960422,54.9375,0.5875,0.1673228346456693,0.3188976377952756,0.20078740157480315,0.3720472440944882,0.6632536973833902,0.13993174061433447,8.12967032967033
2018,MIN,0.6626984126984127,0.5758354755784062,63,0.6641221374045801,0.15514592933947774,0.3271889400921659,0.18433179723502305,0.4147465437788018,0.6001984126984127,0.06746031746031746,7.254125412541254
2018,NE,0.5595903165735568,0.5597964376590331,67.125,0.521978021978022,0.18456375838926176,0.37583892617449666,0.25,0.3338926174496644,0.46461824953445063,0.0595903165735568,7.820557491289199
